kx,L1,L2,L3
-1.9631285447705529,-0.6889398795122104,2.190172368282465,2.6550193179533497
-1.9500845012837054,-0.6871421977509071,2.188549893725356,2.656201113349275
-1.937040457796858,-0.6835703195987887,2.1853744085801954,2.658515520604734
-1.9239964143100103,-0.6782707996339963,2.180778057876814,2.661870531414321
-1.9109523708231628,-0.6713124254927118,2.174943565472026,2.6661425630154185
-1.8979083273363153,-0.6627849551508918,2.1680891375726383,2.671190268746096
-1.8848642838494678,-0.6527974204304743,2.1604527222802914,2.676868551921295
-1.8718202403626203,-0.6414759920789156,2.1522773649375186,2.683041039314215
-1.8587761968757728,-0.6289614084788158,2.143798563600658,2.689590112857325
-1.8457321533889253,-0.6154059816881859,2.1352338175864434,2.6964243213576085
-1.8326881099020778,-0.6009702115220262,2.1267741351924694,2.7034834380244286
-1.8196440664152302,-0.585819060628071,2.1185771214553872,2.7107415972223956
-1.8066000229283827,-0.5701179700632281,2.1107613217450942,2.7182089156031237
-1.793555979441535,-0.5540287238623387,2.103401660903626,2.725931867952233
-1.7805119359546875,-0.5377052996194941,2.0965260198952373,2.733992514450923
-1.7674678924678402,-0.5212898664387178,2.0901131845962184,2.742506507801555
-1.7544238489809925,-0.5049091075910844,2.0840925496241653,2.7516196764336858
-1.741379805494145,-0.4886710489196717,2.0783460326626604,2.7615029111945466
-1.7283357620072977,-0.47266256261300854,2.0727126199628105,2.7723451063026014
-1.71529171852045,-0.4569476884405573,2.06699579474744,2.7843440467722846
-1.7022476750336024,-0.4415668723240039,2.06097378916927,2.797695403354308
-1.689203631546755,-0.4265371690712812,2.054412177236734,2.812580366188351
-1.6761595880599074,-0.4118533980293648,2.0470778716259357,2.8291528447309156
-1.6631155445730599,-0.39749018405549935,2.0387532256969556,2.8475274666872
-1.6500715010862121,-0.38340476798639933,2.029248803227862,2.8677696991634476
-1.6370274575993649,-0.3695404356347309,2.0184135403494294,2.8898892180204
-1.6239834141125171,-0.3558303949158327,2.006141465902737,2.913837190109109
-1.6109393706256696,-0.3422019271378061,1.9923747454056262,2.9395075303854057
-1.5978953271388223,-0.32858064868460474,1.9771033963971811,2.9667416233455564
-1.5848512836519746,-0.31489473965287545,1.9603624396141996,2.9953356016892405
-1.571807240165127,-0.30107902212486937,1.9422274309525098,3.025049120542624
-1.5587631966782798,-0.28707879837350153,1.922809280879479,3.0556146312660424
-1.545719153191432,-0.2728533846908162,1.9022490846828226,3.0867463673276596
-1.5326751097045845,-0.25837929685915256,1.8807134451489504,3.1181485166158596
-1.519631066217737,-0.24365305660287562,1.858390536254589,3.1495223006551125
-1.5065870227308895,-0.22869359352525492,1.835486968696043,3.1805718738743023
-1.493542979244042,-0.2135442135560327,1.8122253850896783,3.2110090853427873
-1.4804989357571943,-0.19827409286615583,1.7888426273938514,3.240557218356333
-1.467454892270347,-0.18297923618819445,1.7655882679404338,3.268953854151933
-1.4544108487834995,-0.16778281197307454,1.7427232651904618,3.2959530095512592
-1.4413668052966517,-0.15283474654775703,1.7205184867106655,3.32132668644321
-1.4283227618098044,-0.13831043006003765,1.699252831137987,3.344865952132607
-1.4152787183229567,-0.12440836574653283,1.6792106800445377,3.366381648960038
-1.4022346748361092,-0.11134659116384119,1.6606784269635804,3.3857048121372886
-1.389190631349262,-0.09935772824257344,1.643939875810322,3.402686857784876
-1.3761465878624142,-0.08868259164398079,1.629270387409722,3.417199589109602
-1.3631025443755667,-0.07956241154520415,1.6169297905499112,3.429135057424981
-1.3500585008887191,-0.07222990734586565,1.6071542629376565,3.438405305969101
-1.3370144574018716,-0.0668996658132166,1.6001476109824533,3.4449420178103085
-1.3239704139150241,-0.06375849306870038,1.5960725980784305,3.4486960841561087
-1.3109263704281764,-0.06295656939556692,1.5950431341700142,3.4496371057445003
-1.297882326941329,-0.06460028026096114,1.5971181863182844,3.44775283740622
-1.2848382834544816,-0.06874748566515151,1.6022981604353792,3.443048584105822
-1.2717942399676339,-0.07540572234936649,1.610524237902937,3.4355465556149953
-1.2587501964807866,-0.0845334577527737,1.6216807758185563,3.4252851863033813
-1.245706152993939,-0.09604411614457621,1.6356004814611746,3.412318426247573
-1.2326621095070913,-0.10981226882374676,1.65207174305954,3.3967150098854404
-1.219618066020244,-0.1256811889380414,1.670847307396566,3.3785577087331173
-1.2065740225333963,-0.1434709388447059,1.6916534617311647,3.357942575210193
-1.1935299790465488,-0.16298626034199043,1.7141989792997356,3.334978185377234
-1.1804859355597013,-0.18402372394083674,1.7381832726596822,3.3097848893880206
-1.1674418920728538,-0.20637780566722536,1.7633034103803422,3.282494079720581
-1.1543978485860062,-0.2298457536969008,1.789259845044175,3.2532474888127827
-1.1413538050991587,-0.2542312568162443,1.8157608485373704,3.2221965296353066
-1.1283097616123112,-0.2793470248511151,1.8425257467115588,3.18950169503408
-1.1152657181254637,-0.3050164428296172,1.869287094673399,3.155332034397789
